Informazioni cronologiche,Quali colori ti piacciono di più quando scegli un outfit?,"Preferisci outfit adatti a una stagione specifica? Se sì, quale?",Per quale occasione?,Quali sono i tipi di abbigliamento che preferisci?,Quanto è importante per te che un outfit sia comodo rispetto a essere alla moda?,Quali di questi outfit corrisponde al tuo?,Sei un maschio o una femmina?
05/01/2024 22.02.27,"Beige, Bianco",Inverno,Svago,Minimalista,Stile,maglia e pantalone,Femmina
05/01/2024 22.25.04,"Blu, Beige",Inverno,Svago,Streetwear,Comodità,felpa e pantalone,Femmina
05/01/2024 22.27.32,"Verde, Viola",Inverno,Svago,Casual,Comodità,felpa e pantalone,Maschio
05/01/2024 22.33.05,"Giallo, Bianco",Primavera,Svago,Streetwear,Comodità,felpa e pantalone,Maschio
05/01/2024 22.37.55,"Nero, Viola",Autunno,Occasione formale,Formale,Stile,giacca e pantalone,Femmina
05/01/2024 22.44.51,"Verde, Beige",Autunno,Università/Scuola,Casual,Comodità,maglia e  pantalone,Femmina
05/01/2024 22.47.58,"Verde, Lilla",Primavera,Cerimonia,Elegante,Stile,maglia e gonna,Femmina
05/01/2024 22.51.40,"Azzurro, Marrone",Primavera,Svago,Elegante,Stile,vestito,Femmina
05/01/2024 22.54.03,"Giallo, Azzurro",Estate,Svago,Sportivo,Comodità,maglia e pantalone corto,Maschio
05/01/2024 22.55.10,"Arancione, Beige",Estate,Cerimonia,Elegante,Stile,maglia e gonna,Femmina
05/01/2024 22.56.55,"Rosa, Nero",Autunno,Università/Scuola,Casual,Stile,maglia e  pantalone,Femmina
05/01/2024 22.58.15,"Verde, Rosso",Inverno,Lavoro,Sportivo,Comodità,maglia e pantalone,Femmina
05/01/2024 23.00.13,"Rosso, Nero",Estate,Svago,Elegante,Stile,maglia e  pantalone,Femmina
05/01/2024 23.01.18,"Giallo, Lilla",Primavera,Lavoro,Casual,Stile,giacca e pantalone,Femmina
05/01/2024 23.02.30,"Blu, Arancione",Primavera,Svago,Streetwear,Comodità,giacca e pantalone,Maschio
05/01/2024 23.06.55,"Blu, Viola",Primavera,Cerimonia,Elegante,Stile,vestito,Femmina
05/01/2024 23.08.43,"Verde, Blu",Autunno,Università/Scuola,Minimalista,Stile,giacca e pantalone,Maschio
05/01/2024 23.10.29,"Arancione, Beige",Estate,Lavoro,Casual,Comodità,maglia e  pantalone,Maschio
05/01/2024 23.11.33,"Nero, Arancione",Inverno,Palestra,Sportivo,Comodità,felpa e pantalone,Maschio
05/01/2024 23.12.47,"Blu, Nero",Primavera,Università/Scuola,Streetwear,Comodità,giacca e pantalone,Maschio
05/01/2024 23.14.43,"Verde, Marrone",Inverno,Università/Scuola,Casual,Stile,maglia e gonna,Femmina
05/01/2024 23.18.09,"Rosa, Nero",Estate,Svago,Elegante,Stile,maglia e gonna,Femmina
05/01/2024 23.19.21,"Rosa, Grigio",Primavera,Cerimonia,Elegante,Stile,giacca e pantalone,Maschio
05/01/2024 23.21.50,"Rosso, Grigio",Primavera,Università/Scuola,Sportivo,Comodità,felpa e pantalone,Maschio
05/01/2024 23.23.49,"Rosso, Nero",Inverno,Università/Scuola,Casual,Comodità,felpa e pantalone,Maschio
05/01/2024 23.24.53,"Arancione, Grigio",Primavera,Svago,Elegante,Stile,giacca e pantalone,Maschio
05/01/2024 23.27.06,"Verde, Rosso",Autunno,Lavoro,Formale,Stile,vestito,Femmina
05/01/2024 23.28.46,"Viola, Bianco",Primavera,Palestra,Sportivo,Comodità,felpa e pantalone,Maschio
05/01/2024 23.30.16,"Blu, Grigio",Primavera,Svago,Sportivo,Stile,maglia e pantalone,Maschio
05/01/2024 23.33.11,"Rosso, Bianco",Estate,Lavoro,Sportivo,Comodità,maglia e  pantalone,Femmina
05/01/2024 23.34.22,"Grigio, Lilla",Estate,Svago,Sportivo,Comodità,maglia e  pantalone,Femmina
05/01/2024 23.35.55,"Rosa, Nero",Inverno,Lavoro,Elegante,Stile,maglia e gonna,Femmina
05/01/2024 23.37.14,"Viola, Giallo",Inverno,Lavoro,Formale,Stile,vestito,Femmina
05/01/2024 23.38.33,"Giallo, Beige",Primavera,Svago,Elegante,Comodità,"vestito, maglia e gonna",Femmina
05/01/2024 23.40.32,"Blu, Bianco",Inverno,Occasione formale,Casual,Stile,giacca e pantalone,Maschio
05/01/2024 23.43.17,"Giallo, Bianco",Primavera,Svago,Casual,Comodità,maglia e  pantalone,Maschio
05/01/2024 23.44.45,"Verde, Nero",Inverno,Occasione formale,Elegante,Stile,giacca e pantalone,Maschio
05/01/2024 23.46.27,"Verde, Viola",Autunno,Lavoro,Formale,Stile,giacca e pantalone,Maschio
05/01/2024 23.47.31,"Verde, Blu",Estate,Lavoro,Casual,Comodità,camicia e pantalone,Femmina
05/01/2024 23.49.27,"Bianco, Lilla",Primavera,Cerimonia,Elegante,Stile,maglia e pantalone,Femmina
05/01/2024 23.51.08,"Blu, Nero",Inverno,Svago,Streetwear,Comodità,felpa e pantalone,Maschio
05/01/2024 23.52.07,"Rosa, Nero",Primavera,Svago,Elegante,Stile,maglia e gonna,Femmina
05/01/2024 23.53.23,"Verde, Grigio",Primavera,Lavoro,Elegante,Stile,giacca e pantalone,Maschio
06/01/2024 0.00.33,"Rosso, Giallo",Primavera,Occasione formale,Streetwear,Comodità,felpa e pantalone,Maschio
06/01/2024 0.01.56,"Bianco, Azzurro",Inverno,Lavoro,Elegante,Stile,giacca e pantalone,Maschio
06/01/2024 0.05.49,"Verde, Viola",Primavera,Svago,Sportivo,Comodità,felpa e pantalone,Femmina
06/01/2024 0.07.15,"Nero, Giallo",Inverno,Lavoro,Formale,Stile,vestito,Femmina
06/01/2024 0.13.04,"Blu, Viola",Estate,Università/Scuola,Streetwear,Stile,maglia e  pantalone,Femmina
06/01/2024 0.19.00,"Rosa, Giallo",Autunno,Cerimonia,Minimalista,Stile,maglia e gonna,Femmina
06/01/2024 0.22.07,"Rosa, Arancione",Inverno,Università/Scuola,Casual,Comodità,felpa e pantalone,Maschio
06/01/2024 0.25.26,"Nero, Beige",Autunno,Svago,Elegante,Comodità,maglia e pantalone,Femmina
06/01/2024 0.26.54,"Beige, Lilla",Primavera,Svago,Elegante,Comodità,vestito,Femmina
06/01/2024 0.28.15,"Rosa, Arancione",Primavera,Svago,Sportivo,Comodità,felpa e pantalone corto,Femmina
06/01/2024 0.29.40,"Verde, Azzurro",Inverno,Lavoro,Formale,Comodità,maglia e pantalone,Femmina
06/01/2024 0.31.23,"Verde, Blu",Estate,Svago,Sportivo,Comodità,maglia e  pantalone corto,Femmina
06/01/2024 0.33.32,"Nero, Grigio",Inverno,Svago,Casual,Comodità,felpa e pantalone,Femmina
06/01/2024 0.35.10,"Grigio, Beige",Autunno,Lavoro,Minimalista,Stile,felpa e pantalone,Femmina
06/01/2024 0.37.12,"Arancione, Azzurro",Estate,Università/Scuola,Casual,Comodità,maglia e  pantalone,Femmina
06/01/2024 0.42.33,"Blu, Arancione",Estate,Svago,Minimalista,Stile,giacca e pantalone,Maschio
06/01/2024 0.54.56,"Giallo, Lilla",Primavera,Occasione formale,Casual,Comodità,camicia e pantalone,Femmina
06/01/2024 1.00.27,"Nero, Grigio",Inverno,Svago,Sportivo,Comodità,felpa e pantalone,Maschio
06/01/2024 1.03.58,"Viola, Beige",Autunno,Svago,Streetwear,Comodità,felpa e pantalone,Maschio
06/01/2024 1.07.20,"Verde, Nero",Estate,Lavoro,Formale,Stile,maglia e pantalone,Femmina
06/01/2024 1.10.27,"Rosso, Bianco",Inverno,Svago,Sportivo,Comodità,felpa e pantalone,Maschio
06/01/2024 1.11.27,"Blu, Viola",Primavera,Cerimonia,Elegante,Stile,vestito,Femmina
06/01/2024 1.13.29,"Viola, Rosa",Primavera,Cerimonia,Elegante,Stile,vestito,Femmina
06/01/2024 1.15.15,"Nero, Arancione",Autunno,Università/Scuola,Casual,Comodità,felpa e pantalone,Femmina
06/01/2024 1.16.50,"Giallo, Azzurro",Estate,Lavoro,Casual,Stile,camicia e pantalone,Femmina
06/01/2024 1.19.48,"Beige, Marrone",Autunno,Università/Scuola,Casual,Comodità,maglia e pantalone,Femmina
06/01/2024 1.24.22,"Viola, Nero",Autunno,Lavoro,Sportivo,Comodità,felpa e pantalone,Maschio
06/01/2024 1.26.01,"Rosso, Blu",Inverno,Svago,Casual,Comodità,felpa e pantalone,Maschio
06/01/2024 1.27.20,"Rosa, Giallo",Primavera,Università/Scuola,Streetwear,Stile,maglia e  pantalone,Femmina
06/01/2024 1.28.16,"Arancione, Marrone",Primavera,Svago,Casual,Stile,maglia e pantalone,Maschio
06/01/2024 1.30.21,"Viola, Rosa",Estate,Lavoro,Elegante,Comodità,maglia e gonna,Femmina
06/01/2024 1.37.03,"Blu, Viola",Inverno,Cerimonia,Elegante,Stile,vestito,Femmina
06/01/2024 1.38.56,"Giallo, Bianco",Primavera,Occasione formale,Elegante,Stile,maglia e pantalone,Femmina
06/01/2024 1.40.00,"Nero, Arancione",Estate,Università/Scuola,Minimalista,Stile,maglia e  pantalone,Maschio
06/01/2024 1.44.46,"Giallo, Beige",Autunno,Lavoro,Casual,Stile,giacca e pantalone,Femmina
06/01/2024 1.46.17,"Grigio, Azzurro",Inverno,Occasione formale,Elegante,Stile,vestito,Femmina
06/01/2024 1.47.37,"Verde, Azzurro",Primavera,Lavoro,Streetwear,Comodità,maglia e  pantalone,Maschio
06/01/2024 1.49.52,"Verde, Rosa",Estate,Cerimonia,Minimalista,Stile,giacca e pantalone,Maschio
06/01/2024 1.52.20,"Blu, Giallo",Inverno,Palestra,Sportivo,Comodità,felpa e pantalone,Maschio
06/01/2024 1.55.01,"Rosa, Beige",Autunno,Lavoro,Casual,Stile,giacca e pantalone,Maschio
06/01/2024 1.59.53,"Blu, Bianco",Inverno,Lavoro,Streetwear,Comodità,felpa e pantalone,Femmina
06/01/2024 2.01.48,"Viola, Bianco",Inverno,Svago,Minimalista,Comodità,felpa e pantalone,Femmina
06/01/2024 2.07.19,"Blu, Grigio",Inverno,Lavoro,Formale,Comodità,giacca e pantalone,Maschio
06/01/2024 2.13.02,"Nero, Grigio",Inverno,Svago,Sportivo,Comodità,maglia e  pantalone,Maschio
06/01/2024 2.18.04,"Blu, Beige",Estate,Svago,Sportivo,Comodità,maglia e  pantalone corto,Maschio
06/01/2024 2.19.26,"Verde, Bianco",Estate,Svago,Casual,Comodità,camicia e pantalone,Maschio
06/01/2024 2.29.18,"Nero, Giallo",Autunno,Lavoro,Formale,Comodità,giacca e pantalone,Maschio
06/01/2024 2.35.05,"Arancione, Grigio",Primavera,Università/Scuola,Casual,Stile,felpa e pantalone,Maschio
06/01/2024 2.39.26,"Viola, Nero",Estate,Lavoro,Casual,Stile,maglia e pantalone,Femmina
06/01/2024 2.45.53,"Blu, Nero",Inverno,Svago,Casual,Comodità,felpa e pantalone,Maschio
06/01/2024 3.01.19,"Rosa, Nero",Estate,Cerimonia,Elegante,Stile,vestito,Femmina
06/01/2024 3.07.18,"Rosso, Blu",Autunno,Svago,Casual,Comodità,maglia e pantalone,Maschio
06/01/2024 3.12.03,"Beige, Bianco",Primavera,Università/Scuola,Casual,Comodità,felpa e pantalone,Femmina
06/01/2024 3.15.22,"Nero, Azzurro",Inverno,Lavoro,Formale,Stile,maglia e gonna,Femmina
06/01/2024 3.15.54,"Rosso, Nero",Autunno,Cerimonia,Elegante,Stile,giacca e pantalone,Maschio
06/01/2024 3.25.00,"Verde, Nero",Estate,Lavoro,Casual,Comodità,camicia e pantalone,Maschio
11/01/2024 16.56.52,"Viola, Nero",Inverno,Svago,Elegante,Stile,vestito,Femmina
12/01/2024 12.15.11,"Rosa, Blu",Primavera,Lavoro,Casual,Comodità,maglia e  pantalone,Maschio
12/01/2024 13.00.10,"Azzurro, Marrone",Autunno,Università/Scuola,Casual,Comodità,felpa e pantalone,Maschio
12/01/2024 13.37.12,"Beige, Lilla",Estate,Università/Scuola,Streetwear,Stile,maglia e pantalone,Femmina
15/01/2024 15.42.15,"Beige, Bianco",Inverno,Lavoro,Casual,Stile,maglia e  pantalone,Femmina
15/01/2024 15.43.24,"Blu, Lilla",Inverno,Svago,Casual,Stile,maglia e  pantalone,Femmina
15/01/2024 17.12.01,"Viola, Grigio",Inverno,Palestra,Sportivo,Comodità,felpa e pantalone,Maschio